,text,date,sentiment,magnitude
0,@Zhaneecoco @SishterSpooky :\,2021-10-06,-0.5,0.5
1,@SishterSpooky why,2021-10-06,-0.5,0.5
2,Getting on Live in 5 minutes to do look with my new BH Cosmetics drop. See u 🤓,2021-10-06,0.5,1.0
3,who out gettin pumpkins rn?,2021-10-06,-0.20000000298023224,0.20000000298023224
4,:o :&gt; :0 :p,2021-10-01,0.20000000298023224,0.5
5,@planetheralien @craicAlacan @jvlienpreston i’m 5.3,2021-09-27,0.0,0.0
6,"Join me and call on your leaders to make sure that all people around the world have access to food by joining us here and taking action at: 
https://t.co/KYEUdpSl8U https://t.co/B1DNQwpT9X",2021-09-25,0.0,0.0
7,"@POTUS, @BorisJohnson &amp; @Palazzo_Chigi: we can end this crisis today with the help of the @WFP. It will cost $6bn /yr, a fraction of the GDP of the wealthiest countries.  Will you commit at #GlobalCitizenLive to ending hunger around the world when in Rome for the #G20? 🌍",2021-09-25,0.0,0.699999988079071
8,"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa is experiencing a devastating hunger crisis. It’s heartbreaking to know that the COVID-19 pandemic has left 41 million people on the brink of starvation.",2021-09-25,-0.800000011920929,1.7000000476837158
9,"RT @khloekardashian: #ad The first #CandyCrushAllStars tournament is HERE, America! Let’s do this!!! Qualify by 10.7 💜
@CandyCrushSaga http…",2021-09-23,0.4000000059604645,1.2000000476837158
10,"#ad Disclaimer: 📣 I’M GONNA WIN the title of America’s #1 Crusher in Candy Crush All Stars! 📣 Take me on in the tournament now!
@CandyCrushSaga #CandyCrushAllStars https://t.co/1tNXKvQoAS",2021-09-23,0.4000000059604645,1.2000000476837158
